start,end
2.144.0.0,2.147.255.255
2.176.0.0,2.191.255.255
5.22.0.0,5.22.127.255
5.22.192.0,5.22.223.255
5.23.112.0,5.23.119.255
5.28.192.0,5.28.223.255
5.34.192.0,5.34.223.255
5.52.0.0,5.52.255.255
5.53.32.0,5.53.63.255
5.56.128.0,5.56.132.255
5.56.134.0,5.56.135.255
5.57.32.0,5.57.39.255
5.61.24.0,5.61.26.255
5.61.29.0,5.61.31.255
5.62.160.0,5.62.255.255
5.63.8.0,5.63.15.255
5.72.0.0,5.75.255.255
5.78.0.0,5.78.255.255
5.104.208.0,5.104.215.255
5.106.0.0,5.106.255.255
5.112.0.0,5.127.255.255
5.134.128.0,5.134.199.255
5.144.128.0,5.144.135.255
5.145.112.0,5.145.119.255
5.159.48.0,5.159.55.255
5.160.0.0,5.161.255.255
5.190.0.0,5.190.122.255
5.190.124.0,5.190.255.255
5.198.160.0,5.198.191.255
5.200.64.0,5.200.255.255
5.201.128.0,5.202.255.255
5.208.0.0,5.223.255.255
5.226.48.0,5.226.55.255
5.232.0.0,5.239.255.255
5.250.0.0,5.250.127.255
31.2.128.0,31.2.255.255
31.7.64.0,31.7.143.255
31.14.80.0,31.14.95.255
31.14.112.0,31.14.127.255
31.14.144.0,31.14.159.255
31.24.204.0,31.24.207.255
31.24.232.0,31.24.239.255
31.25.88.0,31.25.95.255
31.25.104.0,31.25.111.255
31.25.128.0,31.25.135.255
31.25.232.0,31.25.239.255
31.29.32.0,31.29.63.255
31.40.0.0,31.40.7.255
31.47.32.0,31.47.53.23
31.47.53.28,31.47.61.19
31.47.61.24,31.47.63.255
31.56.0.0,31.59.255.255
31.130.176.0,31.130.191.255
31.170.48.0,31.170.63.255
31.171.216.0,31.171.223.255
31.184.128.0,31.184.191.255
31.193.112.0,31.193.119.255
31.193.144.0,31.193.159.255
31.217.208.0,31.217.215.255
37.9.248.0,37.9.255.255
37.10.64.0,37.10.67.255
37.19.80.0,37.19.95.255
37.27.0.0,37.27.255.255
37.32.0.0,37.32.47.255
37.32.112.0,37.32.127.255
37.44.56.0,37.44.63.255
37.49.144.0,37.49.151.255
37.63.128.0,37.63.255.255
37.75.240.0,37.75.247.255
37.98.0.0,37.98.127.255
37.114.192.0,37.114.255.255
37.128.240.0,37.129.255.255
37.130.200.0,37.130.207.255
37.137.0.0,37.137.255.255
37.143.144.0,37.143.151.255
37.148.0.0,37.148.127.255
37.148.248.0,37.148.251.255
37.152.160.0,37.152.191.255
37.153.128.0,37.153.131.255
37.153.176.0,37.153.191.255
37.156.0.0,37.156.3.255
37.156.8.0,37.156.31.255
37.156.48.0,37.156.63.255
37.156.100.0,37.156.103.255
37.156.112.0,37.156.147.255
37.156.152.0,37.156.167.255
37.156.176.0,37.156.179.255
37.156.212.0,37.156.215.255
37.156.232.0,37.156.243.255
37.156.248.0,37.156.251.255
37.191.64.0,37.191.95.255
37.202.128.0,37.202.255.255
37.221.0.0,37.221.63.255
